Income,Generic
TotalRevenue,Revenue
OperatingRevenue,Operating Revenue
CostOfRevenue,Cost of Goods Sold
GrossProfit,Gross Profit
OperatingExpense,Operating Expenses
SellingGeneralAndAdministration,"Selling, General and Administrative Expenses"
ResearchAndDevelopment,Research and Development Expenses
OperatingIncome,Operating Income
NetNonOperatingInterestIncomeExpense,Net Non Operating Interest Income Expense
InterestIncomeNonOperating,Interest Income Non Operating
InterestExpenseNonOperating,Interest Expense Non Operating
OtherIncomeExpense,Total Other Income Expenses
OtherNonOperatingIncomeExpenses,Other Non Operating Income Expenses
PretaxIncome,Income Before Tax
TaxProvision,Income Tax Expense
NetIncomeCommonStockholders,Net Income Common Stockholders
DilutedNIAvailtoComStockholders,Diluted NI Available to Common Stockholders
BasicEPS,EPS
DilutedEPS,EPS Diluted
BasicAverageShares,Weighted Average Shares
DilutedAverageShares,Weighted Average Shares Diluted
TotalOperatingIncomeAsReported,Total Operating Income as Reported
TotalExpenses,Cost and Expenses
NetIncomeFromContinuingAndDiscontinuedOperation,Net Income from Continuing and Discontinued Operation
NormalizedIncome,Normalized Income
NetIncome,Net Income
InterestIncome,Interest Income
InterestExpense,Interest Expense
EBIT,EBIT
EBITDA,EBITDA
ReconciledCostOfRevenue,Reconciled Cost of Revenue
ReconciledDepreciation,Reconciled Depreciation
NetIncomeFromContinuingOperationNetMinorityInterest,Net Income from Continuing Operation Net Minority Interest
NormalizedEBITDA,Normalized EBITDA
TaxRateForCalcs,Tax Rate for Calcs