Date,Identifier,Currency,Volume,Price,Costs,
2000-01-07,ASML,USD,9.00,30.82,-3.00,
2000-01-10,SKY,USD,12.00,15.23,-2.00,
2000-01-28,AMZN,USD,8.00,3.06,-3.00,
2000-02-23,FIX,USD,8.00,6.99,0.00,
2000-02-28,MSFT,USD,13.00,28.35,0.00,
2000-03-31,FIX,USD,9.00,5.14,-1.00,
2000-04-06,SKY,USD,11.00,13.70,-2.00,
2000-04-27,AMD,USD,10.00,42.81,-3.00,
2000-05-08,AAPL,USD,5.00,0.83,-2.00,
2000-06-01,FICO,USD,15.00,12.14,-3.00,
2000-06-07,SKY,USD,-1.00,14.04,-1.00,
2000-07-07,MSFT,USD,15.00,25.12,-2.00,
2000-08-29,FIX,USD,7.00,4.28,-2.00,
2000-11-13,SKY,USD,10.00,13.69,-1.00,
2000-11-15,AMD,USD,5.00,22.13,-1.00,
2000-11-16,BAC,USD,2.00,11.25,-3.00,
2000-11-29,BAC,USD,15.00,11.09,0.00,
2001-01-22,FIX,USD,8.00,1.75,-2.00,
2001-02-13,AMD,USD,15.00,24.16,-1.00,
2001-03-20,SKY,USD,-4.00,15.78,-2.00,
2001-03-28,FICO,USD,4.00,17.05,0.00,
2001-04-20,AAPL,USD,12.00,0.38,0.00,
2001-05-03,AAPL,USD,12.00,0.37,0.00,
2001-05-23,AAPL,USD,15.00,0.35,0.00,
2001-05-29,SKY,USD,8.00,16.47,0.00,
2001-06-04,AMZN,USD,-2.00,0.84,-1.00,
2001-08-13,ASML,USD,10.00,18.16,0.00,
2001-09-18,ALGN,USD,4.00,5.01,-3.00,
2001-09-26,ALGN,USD,-1.00,2.68,-1.00,
2001-10-15,CWST,USD,4.00,11.43,0.00,
2001-11-16,OXY,USD,3.00,6.27,0.00,
2001-12-12,SKY,USD,9.00,19.95,0.00,
2001-12-28,WMT,USD,8.00,12.71,-3.00,
2002-04-01,MSFT,USD,15.00,18.43,0.00,
2002-04-02,FICO,USD,14.00,26.79,0.00,
2002-04-03,FIX,USD,7.00,3.79,0.00,
2002-04-08,ALGN,USD,14.00,4.50,0.00,
2002-04-12,BAC,USD,4.00,19.97,-1.00,
2002-05-03,SKY,USD,6.00,25.57,-2.00,
2002-06-06,CWST,USD,-1.00,11.49,0.00,
2002-07-05,FICO,USD,1.00,21.54,0.00,
2002-07-25,SKY,USD,3.00,20.19,-3.00,
2002-08-07,CAMT,USD,2.00,0.83,-3.00,
2002-08-16,FICO,USD,4.00,24.60,0.00,
2002-08-22,ALGN,USD,-2.00,2.45,-1.00,
2002-09-20,NVDA,USD,13.00,0.07,-3.00,
2002-09-25,ALGN,USD,-2.00,2.88,-3.00,
2002-10-17,SKY,USD,-1.00,18.69,0.00,
2002-11-06,ALGN,USD,-1.00,1.71,0.00,
2002-11-15,MSFT,USD,1.00,17.56,-1.00,
2002-11-18,NFLX,USD,9.00,0.77,-2.00,
2002-12-20,CWST,USD,11.00,9.17,-2.00,
2003-01-09,AMD,USD,14.00,6.86,-2.00,
2003-01-27,MSFT,USD,7.00,15.15,0.00,
2003-01-29,CAMT,USD,7.00,0.37,-2.00,
2003-02-07,SKY,USD,11.00,18.17,0.00,
2003-02-11,FIX,USD,4.00,2.30,-2.00,
2003-02-13,AAPL,USD,1.00,0.22,-3.00,
2003-02-20,SKY,USD,-1.00,17.78,0.00,
2003-03-06,ASML,USD,11.00,6.03,-2.00,
2003-04-03,CAMT,USD,13.00,0.44,-2.00,
2003-04-08,OXY,USD,-1.00,8.25,-1.00,
2003-04-15,WMT,USD,-4.00,11.96,-2.00,
2003-05-20,FIX,USD,-4.00,1.94,-3.00,
2003-06-23,FIX,USD,-5.00,2.03,-1.00,
2003-07-14,AAPL,USD,12.00,0.30,-1.00,
2003-07-15,ASML,USD,10.00,11.34,-3.00,
2003-07-31,NVDA,USD,1.00,0.15,-3.00,
2003-08-05,SKY,USD,1.00,19.89,-2.00,
2003-08-13,NVDA,USD,1.00,0.13,0.00,
2003-09-03,BAC,USD,-5.00,23.90,-3.00,
2003-09-05,ALGN,USD,-4.00,13.50,-3.00,
2003-10-07,NFLX,USD,13.00,3.12,-2.00,
2003-10-21,AMZN,USD,-5.00,2.99,-1.00,
2003-11-04,ALGN,USD,9.00,16.96,-2.00,
2003-11-25,CAMT,USD,-3.00,3.21,-1.00,
2004-01-29,NFLX,USD,10.00,5.07,-3.00,
2004-03-08,ALGN,USD,3.00,19.16,-2.00,
2004-03-10,AMD,USD,2.00,14.40,0.00,
2004-03-15,NVDA,USD,-5.00,0.16,-3.00,
2004-03-25,ASML,USD,15.00,16.50,0.00,
2004-05-03,FICO,USD,13.00,33.25,-1.00,
2004-05-07,SKY,USD,3.00,29.42,0.00,
2004-07-12,FICO,USD,2.00,30.76,-3.00,
2004-08-06,AMD,USD,-4.00,11.30,-1.00,
2004-08-11,BAC,USD,2.00,26.98,-3.00,
2004-08-24,GOOGL,USD,10.00,2.62,-2.00,
2004-10-12,NFLX,USD,11.00,2.49,-1.00,
2004-10-19,AMZN,USD,12.00,1.93,-3.00,
2004-11-11,ASML,USD,8.00,14.03,-2.00,
2004-12-01,GOOGL,USD,6.00,4.51,-3.00,
2004-12-29,AMZN,USD,7.00,2.24,0.00,
2005-01-06,ASML,USD,11.00,13.46,-2.00,
2005-02-17,GOOGL,USD,12.00,4.88,-1.00,
2005-03-04,NVDA,USD,7.00,0.21,-2.00,
2005-03-09,FIX,USD,10.00,6.29,-2.00,
2005-05-18,GOOGL,USD,8.00,5.96,0.00,
2005-08-03,SKY,USD,11.00,32.06,-3.00,
2005-08-22,SKY,USD,1.00,29.49,0.00,
2005-08-30,AMD,USD,7.00,20.24,-1.00,
2005-09-16,MPWR,USD,15.00,7.17,-3.00,
2005-09-19,MSFT,USD,13.00,18.32,-2.00,
2005-09-22,MSFT,USD,12.00,17.62,-3.00,
2005-10-04,NFLX,USD,10.00,3.85,0.00,
2005-11-14,GOOGL,USD,5.00,9.88,0.00,
2005-12-07,AAPL,USD,12.00,2.25,-2.00,
2006-01-09,FICO,USD,12.00,45.54,-3.00,
2006-02-01,AMD,USD,4.00,42.33,-3.00,
2006-03-16,AMZN,USD,7.00,1.84,-1.00,
2006-03-17,MSFT,USD,1.00,19.56,-3.00,
2006-04-05,ASML,USD,13.00,19.03,-1.00,
2006-04-06,FICO,USD,-3.00,38.58,0.00,
2006-08-11,AMZN,USD,4.00,1.29,0.00,
2006-08-14,NVDA,USD,6.00,0.35,-3.00,
2006-08-23,NFLX,USD,5.00,2.67,-1.00,
2006-09-08,NVDA,USD,9.00,0.42,0.00,
2006-11-01,FICO,USD,15.00,35.93,0.00,
2006-11-08,NVDA,USD,2.00,0.53,-3.00,
2006-11-09,ASML,USD,5.00,21.05,-3.00,
2006-12-07,FIX,USD,15.00,10.80,-3.00,
2006-12-11,MSFT,USD,-5.00,21.12,0.00,
2006-12-21,NFLX,USD,6.00,3.87,-2.00,
2006-12-22,BLDR,USD,1.00,17.05,0.00,
2007-01-23,AMZN,USD,15.00,1.82,-3.00,
2007-02-20,ALGN,USD,-5.00,17.93,0.00,
2007-02-21,AAPL,USD,-1.00,2.71,-1.00,
2007-02-28,FIX,USD,15.00,11.02,0.00,
2007-03-06,SKY,USD,13.00,25.61,0.00,
2007-04-16,WMT,USD,15.00,11.11,-1.00,
2007-04-18,SKY,USD,5.00,27.93,0.00,
2007-05-01,SKY,USD,-3.00,27.33,-1.00,
2007-05-21,OXY,USD,14.00,32.79,-1.00,
2007-05-29,OXY,USD,10.00,31.81,-1.00,
2007-07-12,FIX,USD,12.00,11.97,0.00,
2007-09-04,FICO,USD,15.00,36.72,-1.00,
2007-10-22,FICO,USD,2.00,33.34,-1.00,
2007-11-21,AMD,USD,3.00,10.86,0.00,
2007-12-10,MPWR,USD,12.00,18.37,0.00,
2008-01-04,BAC,USD,3.00,29.27,-2.00,
2008-01-17,MPWR,USD,2.00,13.89,-1.00,
2008-02-25,GOOGL,USD,15.00,12.22,-2.00,
2008-03-25,BAC,USD,8.00,30.62,0.00,
2008-05-02,BLDR,USD,-1.00,7.01,-3.00,
2008-07-08,WMT,USD,9.00,13.80,0.00,
2008-07-11,AAPL,USD,11.00,5.17,-1.00,
2008-07-16,NVDA,USD,8.00,0.26,-2.00,
2008-08-05,NVDA,USD,3.00,0.26,-1.00,
2008-12-01,GOOGL,USD,14.00,6.68,-1.00,
2008-12-02,ALGN,USD,6.00,6.87,-3.00,
2008-12-10,WMT,USD,4.00,13.07,-1.00,
2009-01-08,FICO,USD,-4.00,15.76,-2.00,
2009-02-17,FIX,USD,9.00,8.71,-2.00,
2009-06-03,AAPL,USD,-4.00,4.22,0.00,
2009-06-05,VSS,USD,14.00,42.81,-2.00,
2009-06-12,SKY,USD,9.00,17.35,0.00,
2009-06-18,ASML,USD,13.00,18.47,-1.00,
2009-06-29,WMT,USD,6.00,11.58,-3.00,
2009-07-02,AAPL,USD,-3.00,4.19,0.00,
2009-07-15,MPWR,USD,6.00,20.42,-3.00,
2009-07-24,OXY,USD,-1.00,44.61,-3.00,
2009-08-03,AAPL,USD,9.00,4.99,-3.00,
2009-08-06,BLDR,USD,2.00,6.71,0.00,
2009-08-11,VSS,USD,2.00,46.50,-2.00,
2009-08-28,NFLX,USD,5.00,6.26,-2.00,
2009-10-06,AMZN,USD,-2.00,4.53,-2.00,
2009-10-22,FICO,USD,13.00,22.20,-3.00,
2009-11-02,AVGO,USD,7.00,1.48,-1.00,
2009-11-04,CAMT,USD,-1.00,1.29,0.00,
2009-11-17,FIX,USD,13.00,9.68,-1.00,
2009-11-20,ALGN,USD,11.00,15.54,-1.00,
2009-12-23,BAC,USD,12.00,12.01,-1.00,
2009-12-31,AMD,USD,3.00,9.77,0.00,
2010-01-05,WMT,USD,14.00,12.98,-3.00,
2010-01-21,AMZN,USD,-3.00,6.35,0.00,
2010-01-28,CWST,USD,6.00,4.49,-1.00,
2010-01-29,OXY,USD,2.00,49.07,0.00,
2010-03-17,VSS,USD,8.00,55.85,-2.00,
2010-03-22,MPWR,USD,-2.00,19.42,0.00,
2010-04-08,BLDR,USD,9.00,3.49,-1.00,
2010-04-28,ASML,USD,-3.00,30.55,-1.00,
2010-06-08,FICO,USD,8.00,21.02,-2.00,
2010-06-11,CAMT,USD,-2.00,2.17,-2.00,
2010-07-08,AAPL,USD,11.00,7.78,-1.00,
2010-07-15,WMT,USD,15.00,12.27,0.00,
2010-07-20,AAPL,USD,13.00,7.58,-3.00,
2010-09-13,BLDR,USD,-3.00,2.28,0.00,
2010-09-15,WMT,USD,2.00,13.10,-1.00,
2010-09-24,GOOGL,USD,10.00,13.10,-3.00,
2010-09-28,ALGN,USD,5.00,19.89,-2.00,
2010-10-21,ASML,USD,8.00,29.19,0.00,
2010-12-16,WMT,USD,-2.00,13.60,-2.00,
2011-02-02,BAC,USD,3.00,11.40,-2.00,
2011-02-03,MPWR,USD,11.00,12.73,-3.00,
2011-02-17,FICO,USD,-3.00,27.96,-1.00,
2011-02-25,ALGN,USD,-1.00,20.33,-1.00,
2011-03-16,BLDR,USD,7.00,2.43,-1.00,
2011-04-07,OXY,USD,-1.00,64.89,-2.00,
2011-04-12,BLDR,USD,-2.00,3.18,-2.00,
2011-04-26,MCHI,USD,6.00,40.48,-1.00,
2011-06-30,AVGO,USD,14.00,3.77,-3.00,
2011-08-17,CWST,USD,13.00,5.33,-3.00,
2011-09-02,NVDA,USD,3.00,0.30,-2.00,
2011-09-12,SKY,USD,1.00,8.57,-1.00,
2011-09-19,NFLX,USD,6.00,20.71,-2.00,
2011-10-14,AMD,USD,-4.00,4.94,-2.00,
2011-10-25,MSFT,USD,10.00,20.83,0.00,
2011-11-04,NVDA,USD,-2.00,0.34,-1.00,
2011-11-18,ASML,USD,13.00,35.74,-3.00,
2011-11-21,NFLX,USD,-1.00,10.72,0.00,
2011-11-28,WMT,USD,-3.00,14.35,0.00,
2011-11-30,AVGO,USD,11.00,3.01,-3.00,
2011-12-20,VOO,USD,11.00,88.65,0.00,
2011-12-23,NFLX,USD,-1.00,10.29,-2.00,
2012-01-04,MPWR,USD,2.00,12.85,0.00,
2012-02-09,AMD,USD,5.00,7.20,0.00,
2012-03-09,GOOGL,USD,10.00,15.05,-3.00,
2012-03-20,FICO,USD,-1.00,42.54,0.00,
2012-03-29,NVDA,USD,4.00,0.35,-1.00,
2012-04-26,VOO,USD,14.00,101.07,-3.00,
2012-05-03,BAC,USD,-4.00,6.38,-1.00,
2012-05-30,ALGN,USD,-5.00,31.09,-2.00,
2012-06-18,VSS,USD,15.00,55.45,0.00,
2012-06-20,META,USD,2.00,31.51,0.00,
2012-06-28,ALGN,USD,1.00,31.99,-1.00,
2012-06-29,ALGN,USD,10.00,33.46,-1.00,
2012-07-09,VSS,USD,7.00,56.01,-3.00,
2012-08-21,VSS,USD,-4.00,58.52,-1.00,
2012-10-17,VSS,USD,1.00,62.54,-1.00,
2012-10-25,SKY,USD,9.00,4.22,-1.00,
2012-11-13,AMD,USD,12.00,2.08,-2.00,
2012-12-24,GOOGL,USD,12.00,17.53,-3.00,
2013-03-01,BLDR,USD,12.00,6.03,-2.00,
2013-04-23,AMD,USD,-4.00,2.51,-1.00,
2013-05-21,BLDR,USD,3.00,6.86,0.00,
2013-05-24,MPWR,USD,4.00,21.64,-2.00,
2013-06-06,AMZN,USD,2.00,13.35,-2.00,
2013-06-21,BLDR,USD,1.00,6.30,-2.00,
2013-07-01,AMD,USD,7.00,4.12,-3.00,
2013-09-09,NVDA,USD,8.00,0.35,-2.00,
2013-10-17,AAPL,USD,2.00,15.68,-3.00,
2013-10-29,SKY,USD,10.00,4.24,-2.00,
2013-11-15,NFLX,USD,-5.00,50.21,0.00,
2013-12-03,MSFT,USD,4.00,31.97,0.00,
2014-01-30,AVGO,USD,-4.00,5.46,-3.00,
2014-02-03,ASML,USD,-3.00,77.43,-1.00,
2014-02-11,AMZN,USD,-4.00,18.24,0.00,
2014-02-24,AMZN,USD,8.00,17.51,-2.00,
2014-03-11,FICO,USD,-5.00,53.31,-1.00,
2014-03-26,BAC,USD,9.00,13.87,-3.00,
2014-05-05,AMD,USD,-2.00,4.10,-3.00,
2014-07-16,WMT,USD,15.00,20.66,-1.00,
2014-08-19,FICO,USD,8.00,55.53,0.00,
2014-09-22,FIX,USD,6.00,13.29,-1.00,
2014-10-23,AMZN,USD,14.00,15.65,-2.00,
2014-10-27,MCHI,USD,-3.00,38.89,-2.00,
2014-11-04,VOO,USD,-2.00,154.19,0.00,
2014-11-25,GOOGL,USD,2.00,27.31,-1.00,
2014-12-17,ASML,USD,7.00,98.04,0.00,
2015-01-13,MPWR,USD,2.00,42.74,-3.00,
2015-01-29,MCHI,USD,1.00,42.45,0.00,
2015-02-05,MPWR,USD,11.00,43.60,0.00,
2015-02-20,ALGN,USD,12.00,56.49,-2.00,
2015-03-02,NVDA,USD,4.00,0.55,0.00,
2015-04-06,CWST,USD,4.00,6.22,0.00,
2015-05-19,AVGO,USD,10.00,12.87,0.00,
2015-08-28,BAC,USD,-5.00,13.48,-1.00,
2015-10-02,AMZN,USD,-3.00,26.59,0.00,
2015-10-12,AMZN,USD,4.00,27.58,-2.00,
2015-11-12,AMZN,USD,6.00,33.14,-2.00,
2015-12-08,BLDR,USD,-2.00,13.07,0.00,
2016-01-19,VOO,USD,8.00,148.40,-2.00,
2016-03-22,GOOGL,USD,3.00,37.51,0.00,
2016-04-13,CAMT,USD,7.00,1.94,-1.00,
2016-05-03,MSFT,USD,7.00,44.60,0.00,
2016-05-10,BAC,USD,7.00,11.68,-2.00,
2016-05-13,CAMT,USD,12.00,1.74,-2.00,
2016-07-18,NFLX,USD,15.00,98.62,-2.00,
2016-07-29,BLDR,USD,-3.00,12.91,-1.00,
2016-08-09,AVGO,USD,-1.00,17.18,-3.00,
2016-12-23,AVGO,USD,10.00,18.15,-3.00,
2017-01-18,NFLX,USD,2.00,132.10,-1.00,
2017-01-23,CAMT,USD,-4.00,3.13,0.00,
2017-02-27,OXY,USD,-1.00,51.79,-3.00,
2017-03-07,KHC,USD,3.00,63.96,-2.00,
2017-03-23,AMZN,USD,11.00,41.96,-2.00,
2017-04-05,MPWR,USD,-2.00,85.77,0.00,
2017-04-12,VSS,USD,7.00,82.83,-3.00,
2017-06-21,MCHI,USD,5.00,47.48,0.00,
2017-06-29,VOO,USD,11.00,196.53,-1.00,
2017-07-06,MCHI,USD,4.00,47.23,0.00,
2017-10-02,ALGN,USD,5.00,188.83,-2.00,
2017-11-15,ASML,USD,-2.00,166.52,0.00,
2017-11-24,CAMT,USD,12.00,6.15,0.00,
2017-11-30,GOOGL,USD,6.00,51.67,-3.00,
2017-12-04,MPWR,USD,-2.00,104.69,-3.00,
2017-12-05,MCHI,USD,1.00,56.13,-1.00,
2017-12-27,BLDR,USD,-2.00,21.66,0.00,
2017-12-29,AMZN,USD,10.00,59.03,0.00,
2018-01-18,FICO,USD,6.00,162.23,0.00,
2018-01-22,VOO,USD,8.00,230.65,-3.00,
2018-03-20,CWST,USD,14.00,23.78,0.00,
2018-04-05,MPWR,USD,11.00,107.16,-3.00,
2018-04-27,BAC,USD,11.00,25.60,-3.00,
2018-06-20,AVGO,USD,-4.00,26.26,-3.00,
2018-10-18,NVDA,USD,-5.00,5.88,0.00,
2018-10-26,MCHI,USD,6.00,46.68,-2.00,
2018-11-05,SKY,USD,2.00,24.47,0.00,
2018-11-28,SKY,USD,1.00,22.19,0.00,
2018-12-04,META,USD,5.00,137.63,-1.00,
2018-12-24,VSS,USD,-4.00,77.19,-1.00,
2018-12-31,NFLX,USD,6.00,266.97,-1.00,
2019-02-21,VSS,USD,5.00,86.89,-2.00,
2019-03-21,GOOGL,USD,2.00,61.15,-3.00,
2019-04-12,CAMT,USD,1.00,10.19,-2.00,
2019-05-03,EMXC,USD,5.00,43.48,-3.00,
2019-05-07,CAMT,USD,-3.00,9.51,-2.00,
2019-07-03,AMD,USD,15.00,31.40,-1.00,
2019-07-24,GOOGL,USD,15.00,57.14,-3.00,
2019-07-29,AVGO,USD,1.00,30.36,0.00,
2019-08-26,AMZN,USD,12.00,87.97,0.00,
2019-08-28,NFLX,USD,3.00,290.36,-1.00,
2019-09-24,BAC,USD,12.00,25.33,-1.00,
2019-11-01,AMZN,USD,5.00,89.06,0.00,
2019-11-08,ALGN,USD,14.00,257.37,-2.00,
2020-02-24,VSS,USD,10.00,91.19,0.00,
2020-03-09,VOO,USD,5.00,233.97,-3.00,
2020-04-02,GOOGL,USD,4.00,56.08,-1.00,
2020-05-08,MSFT,USD,12.00,175.84,0.00,
2020-05-29,CAMT,USD,-4.00,12.73,-2.00,
2020-06-05,KHC,USD,10.00,26.68,-2.00,
2020-06-22,VSS,USD,-3.00,85.00,0.00,
2020-07-22,AMD,USD,-3.00,61.44,-2.00,
2020-07-31,NFLX,USD,10.00,493.13,-2.00,
2020-08-10,KHC,USD,-5.00,28.66,0.00,
2020-08-24,AMZN,USD,10.00,166.05,-2.00,
2020-09-16,AAPL,USD,5.00,109.79,-2.00,
2020-09-25,NVDA,USD,12.00,12.74,-1.00,
2020-10-01,NFLX,USD,11.00,530.79,-2.00,
2020-11-02,ALGN,USD,8.00,455.55,-2.00,
2020-11-03,BLDR,USD,8.00,32.55,-1.00,
2020-11-09,AAPL,USD,-2.00,114.08,-3.00,
2020-11-10,CWST,USD,4.00,59.30,-1.00,
2020-11-24,VSS,USD,12.00,101.23,-1.00,
2020-12-18,OXY,USD,-5.00,17.91,-2.00,
2020-12-29,BLDR,USD,6.00,42.08,-3.00,
2021-02-04,CWST,USD,9.00,58.22,0.00,
2021-02-10,AMD,USD,-2.00,92.64,0.00,
2021-03-15,EMXC,USD,8.00,54.16,-1.00,
2021-03-23,WMT,USD,13.00,41.95,-1.00,
2021-03-29,MCHI,USD,6.00,74.23,-2.00,
2021-04-27,NFLX,USD,-3.00,505.22,-2.00,
2021-05-21,EMXC,USD,4.00,54.87,-2.00,
2021-05-24,EMXC,USD,-3.00,55.57,-3.00,
2021-08-04,AVGO,USD,7.00,48.94,-3.00,
2021-10-13,EMXC,USD,7.00,56.12,-1.00,
2021-10-19,AVGO,USD,13.00,50.57,-2.00,
2021-11-30,AVGO,USD,2.00,55.24,0.00,
2021-12-01,FIX,USD,8.00,92.60,0.00,
2022-05-24,VSS,USD,10.00,102.22,-1.00,
2022-06-15,MPWR,USD,7.00,408.22,-3.00,
2022-07-22,AMD,USD,-3.00,88.29,-2.00,
2022-08-23,AAPL,USD,14.00,166.16,-2.00,
2022-09-01,CWST,USD,-1.00,81.75,-1.00,
2022-09-02,ASML,USD,4.00,457.86,-3.00,
2022-09-30,OXY,USD,9.00,59.37,-2.00,
2022-10-12,BAC,USD,1.00,28.18,-1.00,
2022-11-07,MPWR,USD,14.00,350.21,-2.00,
2022-11-09,CAMT,USD,1.00,22.06,0.00,
2022-12-06,VOO,USD,11.00,349.55,0.00,
2023-01-23,NFLX,USD,3.00,357.48,-3.00,
2023-02-14,VSS,USD,6.00,103.27,-1.00,
2023-03-20,BLDR,USD,12.00,81.83,-2.00,
2023-03-27,NFLX,USD,-1.00,326.63,-1.00,
2023-04-28,KHC,USD,3.00,36.10,-2.00,
2023-06-14,AAPL,USD,13.00,181.34,-1.00,
2023-09-26,VSS,USD,12.00,100.40,-1.00,
2023-10-16,MCHI,USD,15.00,41.07,-3.00,
2024-02-01,GOOGL,USD,14.00,140.04,0.00,
2024-02-12,BAC,USD,5.00,33.01,-3.00,
2024-02-22,MCHI,USD,7.00,38.50,-1.00,
2024-03-05,KHC,USD,-2.00,33.19,-2.00,
2024-03-12,MPWR,USD,11.00,727.32,0.00,
2024-05-14,CAMT,USD,4.00,94.42,0.00,
2024-06-11,META,USD,8.00,505.57,0.00,
2024-06-18,MPWR,USD,14.00,847.60,-1.00,
2024-06-21,GOOGL,USD,-2.00,179.91,0.00,
2024-07-30,AMD,USD,3.00,139.57,0.00,
2024-08-29,AMD,USD,-5.00,146.36,-2.00,
2024-10-25,MCHI,USD,6.00,48.84,0.00,
2024-11-05,EMXC,USD,-5.00,58.29,-1.00,
2024-11-13,VOO,USD,11.00,552.14,0.00,
2024-12-05,OXY,USD,-2.00,48.25,0.00,